Nome,lavaJato,panamaPapers,odebrecht,acusadosCondenados
MARCELLO DELLUTRI,0,1,0,0
MARIO   KERTESZ,0,0,1,0
ALICIA   NEVES,0,0,1,0
JORGE   SAMEK,0,0,1,0
CESAR SOUZA   JUNIOR,0,0,1,0
PAULO CESAR   MELO DE SA,0,0,1,0
EDUARDO CUNHA,1,1,1,0
LEYLA ALIYEVA,0,1,0,0
ViCTOR CRUZ WEFFER,0,1,0,0
JOSE   FORTUNATI,0,0,1,0
PASTOR AMARILDO,0,0,0,1
DENG JIAGUI,0,1,0,0
JOSE MENTOR,1,0,0,1
CLARISSA   GAROTINHO,0,0,1,0
JOAO   ALVES,0,0,1,0
THELMA DE OLIVEIRA,0,0,0,1
MARIO NEGROMONTE,1,0,0,1
PAULO FEIJO,0,0,0,1
RATINHO   JUNIOR,0,0,1,0
GIACOBO (FERNANDO LUCIO GIACOBO),0,0,0,1
ISAAC   CARVALHO,0,0,1,0
DAVI ALCOLUMBRE,0,0,0,1
MARCELO   MALTA,0,0,1,0
JOAO PAULO   RILLO,0,0,1,0
LIDEU ARAUJO,0,0,0,1
AFONSO   HAMM,0,0,1,0
ALEX CANZIANI,0,0,0,1
MICAELA DOMECQ SOLiS-BEAUMONT,0,1,0,0
ALUIZIO DOS   SANTOS JUNIOR,0,0,1,0
CARLOS   TODESCHINI,0,0,1,0
CACAU   GOMES,0,0,1,0
JOSE CAMILO   ZITO,0,0,1,0
JERONIMO PIZZOLOTTO GOERGEN,1,0,0,0
ALEXANDRE   SILVEIRA,0,0,1,0
JOAO BOSCO   VAZ,0,0,1,0
JONAS   DONIZETTE,0,0,1,0
LI PENG,0,1,0,0
ADEMAR   DELGADO,0,0,1,0
EDISON LOBAO,1,0,0,0
ALBERICO FILHO,0,0,0,1
SEVERINO   BRANQUINHO,0,0,1,0
TITO,0,0,1,0
JOAO PIZZOLATTI JR.,1,0,0,0
MARQUINHO   FIORELLA,0,0,1,0
CARLOS   MARTINS,0,0,1,0
LUCIANO   DUCCI,0,0,1,0
MARCELO CRIVELA,0,0,0,1
"ABELARDO CAMARINHA (JOSE ABELARDO
  GUIMARAES CAMARINHA)",0,0,0,1
PAULO   CAMARA,0,0,1,0
ANG VONG VATHANA,0,1,0,0
KEVIN   KRIEGER,0,0,1,0
ATTAN SHANSONGA,0,1,0,0
CICERO LUCENA FILHO,0,0,0,1
RODRIGO   MAIA,0,0,1,0
ALOIZIO   MERCADANTE,0,0,1,0
LANSANA CONTe,0,1,0,0
GUILHERME   MALUF,0,0,1,0
ANDRE ZACHAROW,0,0,0,1
PAULO   AZEREDO,0,0,1,0
JOSE OTAVIO GERMANO,1,0,1,0
PEDRO SERAFIM   JR.,0,0,1,0
LUCIA VANIA,0,0,0,1
RENAN CALHEIROS,1,0,1,1
JARBAS   VASCONCELOS,0,0,1,0
TARSILA   CRUSIUS,0,0,1,0
MOHAMMAD MUSTAFA,0,1,0,0
JOSE SARNEY,0,0,1,0
ARZU ALIYEVA,0,1,0,0
MARCOS ABRAMO,0,0,0,1
NELSON MEURER,1,0,0,0
JAISON   CARDOSO,0,0,1,0
CLEONANCIO FONSECA,0,0,0,1
TIAO   BOCALON,0,0,1,0
ELIMAR MAXIMO DAMASCENO,0,0,0,1
MENDES   THAME,0,0,1,0
JAQUES   WAGNER,0,0,1,0
JOAO MENDES DE JESUS,0,0,0,1
LINDBERGH FARIAS,1,0,1,1
VANDERLEI ASSIS,0,0,0,1
FERNANDO   BEZERRA COELHO,0,0,1,0
VANDERLEI   SIRAQUE,0,0,1,0
ALAA MUBARAK,0,1,0,0
JOAO BATISTA,0,0,0,1
CARLOS GUTIeRREZ ROBAYO,0,1,0,0
ALINE CORREA,1,0,0,0
RUI   PALMEIRA,0,0,1,0
ROSINHA   GAROTINHO,0,0,1,0
GALO CHIRIBOGA,0,1,0,0
LUIS   TAVARES,0,0,1,0
DONISETE   BRAGA,0,0,1,0
PAULO   ABI-ACKEL,0,0,1,0
JUTAHY   MAGALHAES JR.,0,0,1,0
PAULO   BERNARDO,0,0,1,0
LUIZ ANTONIO   GUARANA,0,0,1,0
PATRUS   ANANIAS,0,0,1,0
ROMMY VALLEJO,0,1,0,0
JOVAIR ARANTES,0,0,0,1
NEILTON   COSTA,0,0,1,0
ETTORE   LABANCA,0,0,1,0
ARKADY ROTENBERG,0,1,0,0
JAIRO   JORGE,0,0,1,0
REI MOHAMMED VI DO MARROCOS,0,1,0,0
JESuS VILLANUEVA,0,1,0,0
ABELARDO   LEOPOLDINO,0,0,1,0
MAURICIO   BACELLAR,0,0,1,0
FRANCISCO   DORNELLES,0,0,1,0
RODNEY   MIRANDA,0,0,1,0
KING SALMAN BIN ABDULAZIZ BIN ABDULRAHMAN AL SAUD,0,1,0,0
LUIZ ANTONIO FLEURY,0,0,0,1
KARIM WADE,0,1,0,0
LUCIANO   RESENDE,0,0,1,0
PAULINHO DA   FORCA,0,0,1,0
JOSE   AGRIPINO,0,0,1,0
REGINALDO GERMANO,0,0,0,1
JORGE VI,0,0,1,0
ALFREDO OVALLE RODRiGUEZ,0,1,0,0
FRANCISCO   MANOEL DE CARVALHO,0,0,1,0
PAWE PISKORSKI,0,1,0,0
MARCELO TEIXEIRA,0,0,0,1
LEONARDO   PRATES,0,0,1,0
JOAO HERRMANN NETO,0,0,0,1
PEDRO EUGENIO   PINHEIRO,0,0,1,0
RODRIGO   NEVES,0,0,1,0
EDUARDO AZEREDO,0,0,0,1
CICERO   LUCENA,0,0,1,0
EDUARDO DA FONTE,1,0,0,0
DR.   PAULINHO,0,0,1,0
CARLITO   MERSS,0,0,1,0
MARCIO REINALDO MOREIRA,0,0,0,1
AELTON FREITAS,0,0,0,1
HUMBERTO COSTA,1,0,1,0
OLoF NORDAL,0,1,0,0
NELSON   MARQUEZAN JR.,0,0,1,0
JOSE GENOINO,0,0,0,1
CRISTINA   CARRARA,0,0,1,0
BORIS ROTENBERG,0,1,0,0
PETRO POROSHENKO,0,1,0,0
VANIA   GALVAO,0,0,1,0
HOSNI MUBARAK,0,1,0,0
JASMINE LI,0,1,0,0
JOAO FISCHER,0,0,1,0
CID GOMES,0,0,1,0
SANDRO MABEL,0,0,0,1
FABIO   BRANCO,0,0,1,0
MICHAEL ASHCROFT,0,1,0,0
CARLOS MAGNO RAMOS,1,0,0,0
ADELI   SELL,0,0,1,0
OTOMAR   VIVIAN,0,0,1,0
WILSON   MARTINS,0,0,1,0
JOSE PAVAN   JUNIOR,0,0,1,0
CARLOS   GRANA,0,0,1,0
CASSIO CUNHA   LIMA,0,0,1,1
ORLANDO   TOLENTINO,0,0,1,0
CARLOS RODRIGUES (BISPO RODRIGUES),0,0,0,1
HENRIQUE EDUARDO ALVES,1,0,1,0
BIDZINA IVANISHVILI,0,1,0,0
RAMI MAKHLOUF,0,1,0,0
PROFESSOR IRAPUAN,0,0,0,1
RAIMUNDO   COLOMBO,0,0,1,0
EDUARDO PAES,0,0,1,0
JOAO CORREIA,0,0,0,1
REINALDO GRIPP,0,0,0,1
NILTON CAPIXABA,0,0,0,1
MILTON   TEMER,0,0,1,0
RITA   CAMATA,0,0,1,0
AYAD ALLAWI,0,1,0,0
CANDIDATO   PORTO VELHO,0,0,1,0
LEONARDO   HOFF,0,0,1,0
MARCELO   NILO,0,0,1,0
JOSE   PRIANTE,0,0,1,1
PEDRO HENRY,1,0,0,1
ARTHUR LIRA,1,0,0,0
MARCIO   POCHMANN,0,0,1,0
JOAO VACCARI NETO,1,0,0,0
ARMANDO   MONTEIRO,0,0,1,0
TONI   PROENCA,0,0,1,0
TARSO   GENRO,0,0,1,0
ANA AMELIA   LEMOS,0,0,1,0
LAZARO BOTELHO MARTINS,1,0,0,0
BENICIO TAVARES,0,0,0,1
STAVROS PAPASTAVROU,0,1,0,0
JORGE   PICCIANI,0,0,1,0
GIOVANNI   FERREIRA DERRICO,0,0,1,0
PEDRO DELGADO,0,1,0,0
GUSTAVO   FRUET,0,0,1,0
MARCIA   MARQUES,0,0,1,0
LESSA,0,0,1,0
CASSIO TANIGUCHI,0,0,0,1
CARLO CAIADO,0,0,1,0
NeSTOR KIRCHNER; CRISTINA FERNaNDEZ DE KIRCHNER,0,1,0,0
ALEXANDRE SANTOS,1,0,0,0
LUIS FERNANDO   PEZAO,0,0,1,0
SIMAO SESSIM,1,0,0,0
CIRO NOGUEIRA,1,0,1,1
LUIZ   SERGIO,0,0,1,0
MARCIO   BIOLCHI,0,0,1,0
PATRICIA   SAMPAIO,0,0,1,0
SEVERINO CAVALCANTI,0,0,0,1
VILSON COVATTI,1,0,0,0
MARIA DO CARMO   LARA,0,0,1,0
LUIZ CARLOS   RAMOS,0,0,1,0
EDUARDO   CAMPOS,0,0,1,0
LUIS CARLOS HEINZE,1,0,0,0
AECIO NEVES,1,0,1,0
EDINHO   SILVA,0,0,1,0
ROBERTO CARLOS   DE SOUZA,0,0,1,0
ALMIR MOURA,0,0,0,1
PH LAGE,0,0,1,0
RICARTE DE FREITAS,0,0,0,1
MARIA DO   ROSARIO,0,0,1,0
LUIZ CARLOS   HAULY,0,0,1,0
DELUBIO SOARES,0,0,0,1
NELSON   BORNIER,0,0,1,1
NELIO DIAS,0,0,0,1
MARIAM SAFDAR,0,1,0,0
GILMAR   SOSSELLA,0,0,1,0
MARCIA   LOPES,0,0,1,0
BRUNO JEAN-RICHARD ITOUA,0,1,0,0
CARLOS   COMASSETTO,0,0,1,0
JOAO MAGNO,0,0,0,1
JOSIMAR CAMPOS   DE SOUZA ,0,0,1,0
MARCOS   DANELUZ,0,0,1,0
DANIEL MUnOZ,0,1,0,0
MOHD NAZIFUDDIN BIN MOHD NAJIB,0,1,0,0
GUILHERME MENEZES,0,0,0,1
GILMAR   RINALDI,0,0,1,0
FERNANDO COLLOR,1,0,0,0
AHMAD ALI AL-MIRGHANI,0,1,0,0
GERALDO   SIMOES,0,0,1,0
MARCIO   LACERDA,0,0,1,0
RAUL JUNGMANN,0,0,1,0
MILTON   LEITE,0,0,1,0
CANDIDO VACCAREZZA,1,0,0,0
VITTORIO MEDIOLI,0,0,0,1
JOSE MILITAO,0,0,0,1
RAIMUNDO SANTOS,0,0,0,1
SEVIL ALIYEVA,0,1,0,0
DUARTE   NOGUEIRA,0,0,1,0
WANDERVAL SANTOS,0,0,0,1
FERNANDO   PIMENTEL,0,0,1,0
ROBERTO CAVALCANTI,0,0,0,1
SIGMUNDUR DAVi GUNNLAUGSSON,0,1,0,0
ENIVALDO RIBEIRO,0,0,0,1
AGUINALDO RIBEIRO,1,0,1,0
BO XILAI,0,1,0,0
RENATO MOLLING,1,0,1,0
ANTONIO ANASTASIA,1,0,0,0
PAULO GARCIA,0,0,1,0
"CHICO DA PRINCESA (FRANCISCO
  OCTAVIO BECKERT)",0,0,0,1
BENEDITO DE LIRA,1,0,0,1
PAULO   SOUTO,0,0,1,0
LAURA CARNEIRO,0,0,0,1
THEOTONIO   VILELLA,0,0,1,0
MARCELO   ESSVEIN,0,0,1,0
INALDO LEITAO,0,0,0,1
GARIBALDI ALVES,0,0,0,1
ATILA   JACOMUSSI,0,0,1,0
ALCEBIADES   SABINO,0,0,1,0
ELIZABETH   SIRAQUE,0,0,1,0
RANDOLFE   RODRIGUES,0,0,1,0
ROMERO   RODRIGUES,0,0,1,0
JAYNET DeSIReE KABILA KYUNGU,0,1,0,0
BETINHO   GOMES,0,0,1,0
HERACLITO   FORTES,0,0,1,0
MARCELINO FRAGA,0,0,0,1
SILAS   BRASILEIRO,0,0,1,0
JUSSARA   CONY,0,0,1,0
MEHRIBAN ALIYEVA,0,1,0,0
MIGUEL ARIAS CAnETE,0,1,0,0
ROMEU QUEIROZ,0,0,0,1
PAULO PIMENTA,0,0,0,1
JOAO SANDES JUNIOR,1,0,0,0
DARCISIO PERONDI,0,0,0,1
MARQUINHO DA   BOLA,0,0,1,0
GLAUCIA   BRANDAO,0,0,1,0
ANTONIO JOAQUIM,0,0,0,1
THOMAZ   BELTRAO,0,0,1,0
JOSE OLIMPIO MORAES,1,0,0,0
ALEXANDRE JOSE   BERARDINELLI ARRAES,0,0,1,0
FIRMINO   FILHO,0,0,1,0
EDVALDO   BRITO,0,0,1,0
PAULO LIMA,0,0,0,1
CHIQUINHO DE   ZAIRA,0,0,1,0
JOVINO   CANDIDO,0,0,1,1
JULIO   LOPES,0,0,1,1
JACOB ZUMA,0,1,0,0
VADO DA   FARMACIA,0,0,1,0
JOAO   PACIFICO,0,0,1,0
DOUTOR HELENO,0,0,0,1
VANESSA   GRAZIOTIN,0,0,1,0
ANTONIO CARLOS   MAGALHAES NETO,0,0,1,0
ALFREDO   SIRKIS,0,0,1,0
IRIS SIMOES,0,0,0,1
LUIZ   MARINHO,0,0,1,0
JORGE   BITTAR,0,0,1,0
NAWAZ SHARIF,0,1,0,0
TETE BEZERRA,0,0,0,1
OTAVIO   LEITE,0,0,1,0
DELCIDIO DO AMARAL,1,0,0,0
BASHAR ASSAD,0,1,0,0
PILAR DE BORBoN,0,1,0,0
ROBERTO COUTINHO TEIXEIRA,1,0,0,0
ENRIQUE PEnA NIETO,0,1,0,0
BENJAMIN MARANHAO,0,0,0,1
LI XIAOLIN,0,1,0,0
VLADIMIR PUTIN,0,1,0,0
OSMANIO PEREIRA,0,0,0,1
EDNA MACEDO,0,0,0,1
JADER   BARBALHO,0,0,1,1
LUIZ PAULO   VELOSO LUCAS,0,0,1,0
FERNANDO ESTIMA,0,0,0,1
VALMIR AMARAL,0,0,0,1
IAN CAMERON,0,1,0,0
BETO   MANSUR,0,0,1,0
SERGEY ROLDUGIN,0,1,0,0
LUIS PAULO   CORREA DA ROCHA,0,0,1,0
JORGE   FELIPPE,0,0,1,0
ROBERTO BRITTO,1,0,0,1
CORIALANO SALES,0,0,0,1
VIEIRA REIS,0,0,0,1
EMMANUEL NDAHIRO,0,1,0,0
FRANCISCO   DANIEL CELEGUIM,0,0,1,0
ARTHUR   OLIVEIRA MAIA,0,0,1,0
EDUARDO SEABRA,0,0,0,1
JAVIER MOLINA BONILLA,0,1,0,0
AMAURI GASQUES,0,0,0,1
CARLOS DUNGA,0,0,0,1
VANESSA   DAMO,0,0,1,0
GERALDO   JULIO,0,0,1,0
ANTONIO PALOCCI,1,0,0,1
CUSTODIO   CAMPOS,0,0,1,0
BISPO WANDERVAL,0,0,0,1
AIRTON ROVEDA,0,0,0,1
ROSINHA DA   ADEFAL,0,0,1,0
LUIZ ARGOLO,1,0,0,0
SILVIO PEREIRA,0,0,0,1
FERNANDO   HADDAD,0,0,1,0
LUIZ FERNANDO FARIA,1,0,1,0
ROBERTO EGIDIO BALESTRA,1,0,0,0
LEONICE DA   PAZ,0,0,1,0
PABLO MENDES   RIBEIRO,0,0,1,0
JOSIAS GOMES,0,0,0,1
NURALI ALIYEV,0,1,0,0
ALI ABU AL-RAGHEB,0,1,0,0
OSVALDO REIS,0,0,0,1
MARCOS CLAUDIO   LULA,0,0,1,0
ABDESLAM BOUCHOUAREB,0,1,0,0
JOSE DIVINO,0,0,0,1
CLIVE KHULUBUSE ZUMA,0,1,0,0
JOSE DIRCEU,0,0,0,1
JORGE PINHEIRO,0,0,0,1
GONZAGA PATRIOTA,0,0,0,1
SERGIO   AQUINO,0,0,1,0
REINALDO   AZAMBUJA,0,0,1,0
PAULO JOSE GOUVEIA,0,0,0,1
SILVIO   CAMELO,0,0,1,0
MANO   CHANGES,0,0,1,0
FRANCISCO   CHAGAS,0,0,1,0
WALDIR   PIRES,0,0,1,0
ANTERO PAES DE   BARROS NETO,0,0,1,1
FERNANDO   MARRONI,0,0,1,0
IRAPUAN TEIXEIRA,0,0,0,1
PABLITO,0,0,1,0
DEMOSTENES   TORRES,0,0,1,1
WALDIR MARANHAO,1,0,0,0
MOHAMMAD BIN NAIF BIN ABDULAZIZ AL-SAUD,0,1,0,0
MICHAEL MATES,0,1,0,0
JOAO RIBEIRO,0,0,0,1
ITAMAR SERPA,0,0,0,1
JUNIOR BETAO,0,0,0,1
PAMELA SHARPLES,0,1,0,0
HASAN NAWAZ SHARIF,0,1,0,0
MAURO   ZACHER,0,0,1,0
PINHEIRO DO   SINDICATO,0,0,1,0
OSMAR   TERRA,0,0,1,0
HEYDAR ALIYEV,0,1,0,0
PEDRO   GODINHO,0,0,1,0
JUAN ARMANDO HINOJOSA,0,1,0,0
MAO SANTA,0,0,0,1
ROBERTO   FREIRE,0,0,1,0
ABELARDO LUPION,0,0,0,1
GIUSEPPE DONALDO NICOSIA,0,1,0,0
HEITOR   SCHUCH,0,0,1,0
MAMADOU POUYE,0,1,0,0
PEDRO CORREA,1,0,0,1
SONINHA   FRANCINE,0,0,1,0
PROFESSOR LUIZINHO,0,0,0,1
ROGERIO   MARINHO,0,0,1,0
ANTONIO   CERON,0,0,1,0
EDSON ANDRINO,0,0,0,1
MAURICIO MACRI,0,1,0,0
KOFI ANNAN,0,1,0,0
RODOLFO TOURINHO,0,0,0,1
JACQUES   PENA,0,0,1,0
RONALDO DIMAS,0,0,0,1
RICCARDO FRANCOLINI,0,1,0,0
IDALeCIO DE OLIVEIRA,0,1,0,0
TATICO (JOSE FUSCALDI CESILIO),0,0,0,1
ANTONIO   DONATO,0,0,1,0
GERALDO   ALCKIMIN,0,0,1,0
LUPERCIO RAMOS,0,0,0,1
JOSE LINHARES PONTE,1,0,0,1
SERGIO CABRAL,0,0,1,0
HAMAD BIN JASSIM BIN JABER AL THANI,0,1,0,0
ADEMIR PRATES,0,0,0,1
NeSTOR GRINDETTI,0,1,0,0
ANDRE   PUCCINELLI,0,0,1,0
CIRO TIZIANI   MOURA,0,0,1,0
JOAO   ALMEIDA,0,0,1,0
NEUTON LIMA,0,0,0,1
JAMES IBORI,0,1,0,0
DIVERSOS   VEREADORES,0,0,1,0
JOAO FELIPE DE SOUZA LEAO,1,0,0,0
ALCESTE ALMEIDA,0,0,0,1
MAURICIO RABELO,0,0,0,1
MANDETTA,0,0,1,0
ARTHUR   VIRGILIO,0,0,1,0
ANGELA GUADAGNIN,0,0,0,1
